Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
339,Terance Mann\mannte01,SF,25,LAC,63,27,29.0,4.2,8.6,.484,1.0,2.7,.365,3.2,5.9,.537,.541,1.3,1.8,.752,1.3,4.0,5.3,2.4,0.7,0.2,1.0,2.2,10.6
340,Tre Mann\manntr01,PG,20,OKC,48,15,20.7,3.4,8.6,.388,1.4,3.9,.360,2.0,4.8,.410,.469,0.9,1.3,.750,0.3,2.0,2.3,1.3,0.8,0.2,0.8,1.7,9.0
341,Boban Marjanović\marjabo01,C,33,DAL,17,0,5.8,2.1,3.4,.632,0.1,0.2,.333,2.1,3.2,.648,.640,0.5,0.9,.500,0.4,1.4,1.8,0.1,0.0,0.1,0.6,1.2,4.8
342,Lauri Markkanen\markkla01,PF,24,CLE,41,41,30.4,4.9,11.5,.428,2.1,6.0,.348,2.8,5.5,.516,.519,2.0,2.3,.853,1.0,4.3,5.3,1.4,0.7,0.6,0.9,1.8,13.9
343,Naji Marshall\marshna01,SF,24,NOP,34,0,10.0,1.3,3.6,.361,0.3,1.5,.192,1.0,2.1,.486,.402,0.9,1.1,.821,0.6,1.6,2.1,0.8,0.5,0.1,0.8,1.0,3.8
344,Caleb Martin\martica02,SF,26,MIA,47,10,23.0,3.6,7.0,.509,1.0,2.6,.372,2.6,4.4,.589,.578,1.2,1.6,.743,1.3,2.7,4.0,1.0,1.0,0.4,0.8,1.7,9.2
345,Cody Martin\martico01,SF,26,CHO,52,11,26.8,3.0,6.4,.464,1.0,2.3,.410,2.0,4.0,.495,.539,1.1,1.6,.671,1.2,2.9,4.1,2.5,1.3,0.5,0.9,1.7,8.0
346,Kelan Martin\martike03,SF,26,TOT,28,1,16.0,2.5,6.1,.412,0.8,2.6,.297,1.7,3.4,.500,.476,0.3,0.5,.692,0.6,1.4,1.9,0.8,0.5,0.3,0.5,1.3,6.1
346,Kelan Martin\martike03,SF,26,IND,27,1,16.4,2.6,6.2,.417,0.8,2.7,.297,1.8,3.5,.511,.482,0.3,0.5,.692,0.6,1.4,2.0,0.8,0.5,0.3,0.5,1.3,6.3
346,Kelan Martin\martike03,SF,26,BOS,1,0,3.0,0.0,2.0,.000,0.0,0.0,,0.0,2.0,.000,.000,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
347,Kenyon Martin Jr.\martike04,SF,21,HOU,58,0,19.9,3.4,6.6,.525,0.6,1.9,.339,2.8,4.7,.599,.573,1.0,1.6,.641,1.1,2.7,3.8,1.3,0.4,0.4,0.7,1.2,8.6
348,Garrison Mathews\mathega01,SG,25,HOU,44,19,27.3,3.3,8.0,.414,2.4,6.5,.372,0.9,1.4,.613,.567,2.5,3.1,.803,0.6,2.7,3.3,1.0,0.8,0.3,0.7,2.9,11.5
349,Dakota Mathias\mathida01,SG,26,MEM,6,0,2.7,0.3,1.0,.333,0.3,1.0,.333,0.0,0.0,,.500,0.0,0.0,,0.0,0.3,0.3,0.2,0.2,0.0,0.0,0.2,1.0
350,Wesley Matthews\matthwe02,SG,35,MIL,32,6,19.4,1.8,4.4,.397,1.1,3.2,.330,0.7,1.2,.579,.518,0.3,0.4,.667,0.5,1.4,1.9,0.7,0.4,0.2,0.4,1.9,4.8
351,Tyrese Maxey\maxeyty01,PG,21,PHI,53,52,35.6,6.4,13.5,.477,1.4,3.6,.400,5.0,9.9,.505,.530,2.9,3.3,.869,0.4,3.2,3.6,4.5,0.7,0.5,1.2,2.1,17.2
352,Skylar Mays\mayssk01,SG,24,ATL,24,5,8.8,1.3,2.6,.516,0.3,1.0,.320,1.0,1.5,.649,.581,0.3,0.4,.889,0.2,0.8,1.0,0.7,0.3,0.0,0.4,0.3,3.3
